,,,,,,,,,,,
,Flight Load by CARRIER,,,,2018,,,,,,
,,,,,,,,,,,
,Carrier,Airport,,Flights,,Pasengers,,Seats offered,,Load,
,,,,Arrival,Departure,Arrival,Departure,Arrival,Departure,Arrival,Departure
,,Edinburgh,EDI,8,8,1399,1451,1512,1512,"92,53 %","95,97 %"
,,Stansted,STN,22,22,3875,3930,4158,4158,"93,19 %","94,52 %"
,,Shannon,SNN,9,9,1610,1659,1701,1701,"94,65 %","97,53 %"
,,Alicante,ALC,18,18,3318,3221,3402,3402,"97,53 %","94,68 %"
,,Palma de Mallorca,PMI,9,8,1587,1435,1701,1512,"93,30 %","94,91 %"
,,Paphos,PFO,5,5,889,851,945,945,"94,07 %","90,05 %"
,,Rhodes,RHO,4,4,675,683,756,756,"89,29 %","90,34 %"
,,Burgas,BOJ,5,5,895,850,945,945,"94,71 %","89,95 %"
,,Rimini,RMI,5,5,868,828,945,945,"91,85 %","87,62 %"
,,Girona,GRO,9,9,1511,1503,1701,1701,"88,83 %","88,36 %"
,,Naples,NAP,9,9,1558,1521,1701,1701,"91,59 %","89,42 %"
,Wizz Air,Luton,LTN,31,31,5341,5526,5580,5580,"95,72 %","99,03 %"
,,Stavanger,SVG,13,13,1925,2201,2340,2340,"82,26 %","94,06 %"
,,Bergen,BGO,9,9,1314,1531,1620,1620,"81,11 %","94,51 %"
,,Olesund,AES,9,9,1715,1968,2070,2070,"82,85 %","95,07 %"
,,Eindhoven,EIN,9,9,1847,1967,2070,2070,"89,23 %","95,02 %"
,LOT,Warsaw,WAW,25,25,1111,1084,1916,1916,"57,99 %","56,58 %"
,,,,,,,,,,,
,Rugsėjis,,,,,,,,,,
,RYANAIR,Luton,LTN,29,29,4785,5138,5481,5481,"87,30 %","93,74 %"
,,Copenhage,CPH,30,30,5185,5370,5670,5670,"91,45 %","94,71 %"
,,Dublin,DUB,17,17,3059,3111,3213,3213,"95,21 %","96,83 %"
,,Bristol,BRS,14,14,2177,2510,2646,2646,"82,28 %","94,86 %"
,,Edinburgh,EDI,9,9,1532,1633,1701,1701,"90,06 %","96,00 %"
,,Stansted,STN,21,21,3428,3771,3969,3969,"86,37 %","95,01 %"
,,Shannon,SNN,9,9,1555,1654,1701,1701,"91,42 %","97,24 %"
,,Alicante,ALC,17,17,2990,3066,3213,3213,"93,06 %","95,42 %"
,,Palma de Mallorca,PMI,9,9,1521,1581,1701,1701,"89,42 %","92,95 %"
